,station_code,lat,lon,elevation,state,name,gsn_flag,hcn_flag,wmo_id,method,zip_code,city
34,USW00013739,39.8683,-75.2311,3.0,PA,PHILADELPHIA INTL AP,,,72408.0,,19153.0,Philadelphia
35,USW00013740,37.505,-77.3203,50.0,VA,RICHMOND INTL AP,,,72401.0,,23150.0,Sandston
36,USW00013741,37.3169,-79.9742,358.1,VA,ROANOKE RGNL AP,,,72411.0,,24017.0,Roanoke
37,USW00013743,38.8483,-77.0342,3.0,VA,WASHINGTON REAGAN AP,GSN,,72405.0,,20024.0,Washington
38,USW00013748,34.2675,-77.8997,10.1,NC,WILMINGTON INTL AP,,,72302.0,,28405.0,Wilmington
39,USW00013846,30.0667,-85.5833,7.0,FL,TYNDALL AFB,,,74775.0,,32403.0,Panama City
40,USW00013866,38.3794,-81.59,277.4,WV,CHARLESTON YEAGER AP,,,72414.0,,25302.0,Charleston
41,USW00013873,33.9481,-83.3275,239.3,GA,ATHENS BEN EPPS AP,,,72311.0,,30605.0,Athens
42,USW00013874,33.63,-84.4417,307.8,GA,ATLANTA HARTSFIELD INTL AP,,,72219.0,,30337.0,Atlanta
43,USW00013881,35.2236,-80.9553,221.9,NC,CHARLOTTE DOUGLAS AP,,,72314.0,,28278.0,Charlotte
44,USW00013882,35.0311,-85.2014,204.5,TN,CHATTANOOGA LOVELL AP,GSN,,72324.0,,37421.0,Chattanooga
45,USW00013889,30.4844,-81.7019,10.1,FL,JACKSONVILLE,,,72206.0,,32218.0,Jacksonville
46,USW00013893,35.0564,-89.9864,77.4,TN,MEMPHIS INTL AP,,,72334.0,,38116.0,Memphis
47,USW00013894,30.6794,-88.2397,63.4,AL,MOBILE,,,72223.0,,36608.0,Mobile
48,USW00013896,34.7442,-87.5997,164.6,AL,MUSCLE SHOALS RGNL AP,,HCN,,,35661.0,Muscle Shoals
49,USW00013897,36.1189,-86.6892,182.9,TN,NASHVILLE INTL AP,,,72327.0,,37217.0,Nashville
50,USW00013904,30.1831,-97.68,146.3,TX,AUSTIN BERGSTROM AP,,,74745.0,,78719.0,Austin
51,USW00013919,35.4167,-97.3833,384.0,OK,OKLAHOMA CITY TINKER AFB,,,72354.0,,73150.0,Oklahoma City
52,USW00013957,32.4506,-93.8411,83.2,LA,SHREVEPORT,GSN,,72248.0,,71109.0,Shreveport
53,USW00013962,32.4106,-99.6822,545.6,TX,ABILENE RGNL AP,GSN,,72266.0,,79602.0,Abilene
54,USW00013963,34.7272,-92.2389,78.6,AR,LITTLE ROCK AP ADAMS FLD,,,,,72202.0,Little Rock
55,USW00013968,36.1994,-95.8872,198.1,OK,TULSA INTL AP,,,72356.0,,74115.0,Tulsa
56,USW00013970,30.5372,-91.1469,19.5,LA,BATON ROUGE RYAN AP,,HCN,,,70807.0,Baton Rouge
57,USW00013994,38.7525,-90.3736,161.8,MO,ST LOUIS LAMBERT INTL AP,,,72434.0,,63145.0,Saint Louis
58,USW00013995,37.2353,-93.4003,389.5,MO,SPRINGFIELD,,,72440.0,,65802.0,Springfield
59,USW00014605,44.3206,-69.7972,106.7,ME,AUGUSTA STATE AP,,,,,4330.0,Augusta
60,USW00014606,44.7978,-68.8186,45.1,ME,BANGOR INTL AP,,,72607.0,,4401.0,Bangor
61,USW00014607,46.8706,-68.0172,190.2,ME,CARIBOU MUNI AP,GSN,,72712.0,,4736.0,Caribou
62,USW00014732,40.7794,-73.8803,3.4,NY,NEW YORK LAGUARDIA AP,,,72503.0,,10474.0,Bronx
63,USW00014735,42.7431,-73.8092,95.1,NY,ALBANY AP,,HCN,72518.0,,12110.0,Latham
64,USW00014737,40.6508,-75.4492,118.9,PA,ALLENTOWN INTL AP,,HCN,72517.0,,18109.0,Allentown
65,USW00014739,42.3606,-71.0106,3.7,MA,BOSTON LOGAN INTL AP,,,72509.0,,2128.0,Boston
